concept_id,concept_name,table
26286,Burn of neck,condition_occurrence
26361,Primary malignant neoplasm of pineal gland,condition_occurrence
26378,Hyperpituitarism,condition_occurrence
26441,Bleeding ulcer of esophagus,condition_occurrence
26638,Primary malignant neoplasm of esophagus,condition_occurrence
26662,Testicular hypofunction,condition_occurrence
26711,Chronic pharyngitis,condition_occurrence
26727,Hematemesis,condition_occurrence
26823,Oral phase dysphagia,condition_occurrence
26935,Disorder of endocrine testis,condition_occurrence
26942,Hemoglobin SS disease with crisis,condition_occurrence
27516,Neoplasm of uncertain behavior of paraganglia,condition_occurrence
27587,Disturbance of salivary secretion,condition_occurrence
27674,Nausea and vomiting,condition_occurrence
27835,Neoplasm of uncertain behavior of pituitary gland,condition_occurrence
27918,Eosinophilic esophagitis,condition_occurrence
28060,Streptococcal sore throat,condition_occurrence
28083,Primary malignant neoplasm of pharynx,condition_occurrence
28109,Carcinoma in situ of esophagus,condition_occurrence
28115,Benign neoplasm of pineal gland,condition_occurrence
28127,"Multiple endocrine neoplasia, type 1",condition_occurrence
28179,Polyp of vocal cord or larynx,condition_occurrence
28396,Hereditary hemolytic anemia,condition_occurrence
28403,Gigantism and acromegaly,condition_occurrence
28457,Hypertrophy of tonsils,condition_occurrence
28461,Hypertrophy of salivary gland,condition_occurrence
28462,Fistula of salivary gland,condition_occurrence
28779,Bleeding esophageal varices,condition_occurrence
28974,Candidiasis of the esophagus,condition_occurrence
29056,Sialoadenitis,condition_occurrence
29735,Candidiasis of mouth,condition_occurrence
30061,Neoplasm of uncertain behavior of major salivary gland,condition_occurrence
30133,Acute laryngitis,condition_occurrence
30274,Full thickness burn of neck,condition_occurrence
30284,Motion sickness,condition_occurrence
30333,Gonorrhea of pharynx,condition_occurrence
30356,Benign neoplasm of pharynx,condition_occurrence
30437,Gastro-esophageal reflux disease with esophagitis,condition_occurrence
30441,Sialolithiasis,condition_occurrence
30515,Congenital stenosis of esophagus,condition_occurrence
30678,Polyglandular activity in multiple endocrine adenomatosis,condition_occurrence
30679,Benign neoplasm of major salivary gland,condition_occurrence
30683,Hemoglobin SS disease without crisis,condition_occurrence
30753,Esophagitis,condition_occurrence
30968,Diabetes insipidus,condition_occurrence
30969,Testicular hyperfunction,condition_occurrence
30978,Thalassemia,condition_occurrence
31057,Disorder of pharynx,condition_occurrence
31317,Dysphagia,condition_occurrence
31509,Primary malignant neoplasm of tonsil,condition_occurrence
31597,Acute laryngotracheitis,condition_occurrence
31602,Disorder of the larynx,condition_occurrence
31609,Abscess of salivary gland,condition_occurrence
31610,Disorder of esophagus,condition_occurrence
31821,Disorder of endocrine system,condition_occurrence
31884,Acquired diverticulum of esophagus,condition_occurrence
31967,Nausea,condition_occurrence
72245,Chlamydial infection of lower genitourinary tract,condition_occurrence
72266,Secondary malignant neoplasm of pleura,condition_occurrence
72377,Shoulder girdle dystocia,condition_occurrence
72404,Joint stiffness,condition_occurrence
72407,Effusion of joint of shoulder region,condition_occurrence
72413,Nontraumatic rupture of muscle,condition_occurrence
72418,Scoliosis deformity of spine,condition_occurrence
72421,Solitary bone cyst,condition_occurrence
72434,Congenital hydrocele,condition_occurrence
72487,Crushing injury of foot,condition_occurrence
72516,Burn of knee,condition_occurrence
72521,Immersion foot,condition_occurrence
72576,Benign tumor of breast,condition_occurrence
72578,Neoplasm of uncertain behavior of breast,condition_occurrence
72618,Disorder of skeletal muscle,condition_occurrence
72693,Poor fetal growth affecting management,condition_occurrence
72709,Crystal arthropathy of multiple sites,condition_occurrence
72711,Shoulder stiff,condition_occurrence
72926,Labyrinthine fistula,condition_occurrence
72986,Disorder of lower leg,condition_occurrence
72988,Pyogenic arthritis of hand,condition_occurrence
72991,Traumatic arthropathy of multiple sites,condition_occurrence
72994,Jaccoud's syndrome,condition_occurrence
72995,Contracture of joint of hand,condition_occurrence
73001,Myositis,condition_occurrence
73008,Enthesopathy,condition_occurrence
73012,Lordosis deformity of spine,condition_occurrence
73021,Bilateral congenital dislocation of hip,condition_occurrence
73036,Closed fracture of olecranon process of ulna,condition_occurrence
73042,Open fracture finger middle phalanx,condition_occurrence
73090,Contusion of foot,condition_occurrence
73153,Malignant neoplasm of lateral wall of urinary bladder,condition_occurrence
73231,Arthralgia of temporomandibular joint,condition_occurrence
73290,Contracture of joint,condition_occurrence
73291,Palindromic rheumatism of ankle and/or foot,condition_occurrence
73300,Radial styloid tenosynovitis,condition_occurrence
73301,Synovitis/tenosynovitis - wrist,condition_occurrence
73302,Curvature of spine,condition_occurrence
73338,Sprain of lateral collateral ligament of knee,condition_occurrence
73341,Closed fracture of head of radius,condition_occurrence
73366,Crushing injury of lower leg,condition_occurrence
73373,Epidermal burn of upper limb,condition_occurrence
73378,Frostbite of foot,condition_occurrence
73383,Full thickness burn of foot,condition_occurrence
73553,Arthropathy,condition_occurrence
73560,Calcaneal spur,condition_occurrence
73571,Pathological fracture,condition_occurrence
73574,Nonunion of fracture,condition_occurrence
73580,Reduction deformity of lower limb,condition_occurrence
73609,Open fracture of clavicle,condition_occurrence
73649,Contusion of finger,condition_occurrence
73754,Restless legs,condition_occurrence
73819,Pain of breast,condition_occurrence
73840,"Localized, primary osteoarthritis of the shoulder region",condition_occurrence
73866,Congenital anomaly of breast,condition_occurrence
73872,Congenital deformity of knee joint,condition_occurrence
73888,Open fracture of navicular bone of foot,condition_occurrence
73913,Burn of shoulder,condition_occurrence
73923,Contusion of upper arm,condition_occurrence
73925,Burn of upper limb,condition_occurrence
74052,Labyrinthitis,condition_occurrence
74064,Ankylosis of temporomandibular joint,condition_occurrence
74080,Orthostatic proteinuria,condition_occurrence
74104,Fetal condition affecting obstetrical care of mother,condition_occurrence
74124,Traumatic arthropathy,condition_occurrence
74125,Inflammatory polyarthropathy,condition_occurrence
74127,Contracture of elbow joint,condition_occurrence
74130,Thoracic spondylosis without myelopathy,condition_occurrence
74132,Degeneration of lumbosacral intervertebral disc,condition_occurrence
74135,Disorder of synovium,condition_occurrence
74185,Open fracture of cuboid bone of foot,condition_occurrence
74189,Sprain of cruciate ligament of knee,condition_occurrence
74192,Open fracture of coronoid process of ulna,condition_occurrence
74250,Burn of foot,condition_occurrence
74322,Benign neoplasm of scrotum,condition_occurrence
74396,Temporomandibular joint disorder,condition_occurrence
74399,Articular disc disorder of temporomandibular joint,condition_occurrence
74444,Crystal arthropathy of knee,condition_occurrence
74456,Acquired claw hand,condition_occurrence
74468,Congenital anomaly of rib,condition_occurrence
74470,Congenital anomaly of upper limb,condition_occurrence
74472,Congenital deformity of foot,condition_occurrence
74522,Full thickness burn of chest wall,condition_occurrence
74533,Crushing injury of toe,condition_occurrence
74582,Primary malignant neoplasm of rectum,condition_occurrence
74606,Benign neoplasm of bone,condition_occurrence
74635,Lumbosacral radiculopathy,condition_occurrence
74698,Breech presentation,condition_occurrence
74719,Ulcer of foot,condition_occurrence
74728,Synovitis and tenosynovitis,condition_occurrence
74731,Hypertrophic osteoarthropathy,condition_occurrence
74737,Aneurysmal bone cyst,condition_occurrence
74763,Open fracture of olecranon process of ulna,condition_occurrence
74768,Closed fracture of triquetral bone of wrist,condition_occurrence
74772,Open fracture of carpal bone,condition_occurrence
74777,Closed fracture of talus,condition_occurrence
74809,Crushing injury of hand,condition_occurrence
74816,Contusion of toe,condition_occurrence
74855,Genital herpes simplex,condition_occurrence
74862,Syphilis of bone,condition_occurrence
74998,Infected hydrocele,condition_occurrence
75004,Frank hematuria,condition_occurrence
75010,Fibroadenosis of breast,condition_occurrence
75036,"Localized, primary osteoarthritis of the hand",condition_occurrence
75039,Loose body in knee,condition_occurrence
75043,Hemarthrosis of knee,condition_occurrence
75047,Dislocation of joint of upper limb,condition_occurrence
75048,Interstitial myositis,condition_occurrence
75050,Acquired coxa valga,condition_occurrence
75051,Derangement of posterior horn of medial meniscus,condition_occurrence
75091,Closed fracture of carpal bone,condition_occurrence
75095,Closed fracture of ankle,condition_occurrence
75103,Sprain of jaw,condition_occurrence
75121,Burn of lower leg,condition_occurrence
75206,"Benign neoplasm of pelvic bones, sacrum and coccyx",condition_occurrence
75210,Carcinoma in situ of rectum,condition_occurrence
75311,Fibrosclerosis of breast,condition_occurrence
75343,Contracture of hip joint,condition_occurrence
75344,Intervertebral disc disorder,condition_occurrence
75345,Hemarthrosis of shoulder region,condition_occurrence
75346,Derangement of meniscus,condition_occurrence
75347,Spinal enthesopathy,condition_occurrence
75354,Osteochondropathy,condition_occurrence
75356,Congenital anomaly of sternocleidomastoid muscle,condition_occurrence
75373,Open fracture of head of radius,condition_occurrence
75375,Closed fracture of lunate bone of wrist,condition_occurrence
75385,"Closed fracture distal humerus, lateral epicondyle",condition_occurrence
75406,Crushing injury of finger,condition_occurrence
75407,Burn of multiple sites of upper limb,condition_occurrence
75408,Partial thickness burn of elbow,condition_occurrence
75413,Burn of wrist,condition_occurrence
75426,Burn of hand,condition_occurrence
75488,Primary malignant neoplasm of vertebral column,condition_occurrence
75512,Carcinoma in situ of colon,condition_occurrence
75576,Irritable bowel syndrome,condition_occurrence
75580,Chronic ulcerative proctitis,condition_occurrence
75605,"Fetal death, affecting management of mother",condition_occurrence
75614,Acrodermatitis continua,condition_occurrence
75620,Traumatic arthropathy of the ankle and/or foot,condition_occurrence
75628,Articular cartilage disorder of hand,condition_occurrence
75634,Fracture malunion,condition_occurrence
75650,Proteinuria,condition_occurrence
75652,Congenital valgus deformity of foot,condition_occurrence
75667,Sprain of calcaneofibular ligament,condition_occurrence
75689,Contusion of breast,condition_occurrence
75690,Full thickness burn of ankle,condition_occurrence
75692,Full thickness burn of knee,condition_occurrence
75708,Foreign body in anus and rectum,condition_occurrence
75709,Full thickness burn of upper limb,condition_occurrence
75860,Constipation,condition_occurrence
75863,Chronic interstitial cystitis,condition_occurrence
75865,Disorder of the urinary system,condition_occurrence
75908,Kissing spine,condition_occurrence
75909,Disorder of bone,condition_occurrence
75910,Osteitis deformans,condition_occurrence
75911,Acquired hallux valgus,condition_occurrence
75920,Osteitis condensans,condition_occurrence
75941,Closed fracture of one rib,condition_occurrence
75946,Sprain of superior tibiofibular ligament,condition_occurrence
75954,Sprain of interphalangeal joint of finger,condition_occurrence
75994,Full thickness burn of shoulder,condition_occurrence
76002,Mechanical complication due to breast prosthesis,condition_occurrence
76191,Disorder of upper arm,condition_occurrence
76196,Palindromic rheumatism,condition_occurrence
76199,Recurrent dislocation of hip,condition_occurrence
76240,Closed fracture pubis,condition_occurrence
76255,Sprain of iliofemoral ligament,condition_occurrence
76304,Burn of upper arm,condition_occurrence
76349,Primary malignant neoplasm of urinary system,condition_occurrence
76388,Post-thoracotomy pain syndrome,condition_occurrence
76467,Congenital hypoplasia of breast,condition_occurrence
76472,Dysplasia of anus,condition_occurrence
76482,Missed miscarriage,condition_occurrence
76491,Obstetric non-purulent mastitis with antenatal complication,condition_occurrence
76503,Contracture of joint of shoulder region,condition_occurrence
76508,Infective myositis,condition_occurrence
76533,Non-immune hydrops fetalis,condition_occurrence
76550,"Sprain, metatarsophalangeal joint",condition_occurrence
76565,Contusion of shoulder region,condition_occurrence
76570,Burn of elbow,condition_occurrence
76573,Full thickness burn of hand,condition_occurrence
76574,Full thickness burn of lower leg,condition_occurrence
76595,Full thickness burn of thumb,condition_occurrence
76611,Injury of shoulder region,condition_occurrence
76725,Anal fissure,condition_occurrence
76745,Capsular breast contracture of breast implant,condition_occurrence
76771,Obstetric non-purulent mastitis with postnatal complication,condition_occurrence
76784,Hemarthrosis,condition_occurrence
76786,Derangement of knee,condition_occurrence
76789,Villonodular synovitis of the ankle and foot,condition_occurrence
76790,Hypermobility syndrome,condition_occurrence
76791,Acquired deformity of hip,condition_occurrence
76801,Polyostotic fibrous dysplasia of bone,condition_occurrence
76838,Open fracture of triquetral bone of wrist,condition_occurrence
76870,Full thickness burn of wrist,condition_occurrence
76914,Primary malignant neoplasm of bone,condition_occurrence
76924,Primary malignant neoplasm of ureteric orifice of urinary bladder,condition_occurrence
77030,Disorder of breast,condition_occurrence
77066,Derangement of medial meniscus,condition_occurrence
77067,Bucket handle tear of lateral meniscus of knee,condition_occurrence
77074,Joint pain,condition_occurrence
77076,Diastasis of muscle,condition_occurrence
77079,Spinal stenosis,condition_occurrence
77081,Tibialis tendinitis,condition_occurrence
77112,Open fracture of scapula,condition_occurrence
77115,Multiple open fractures of pelvis with disruption of pelvic circle,condition_occurrence
77124,Open fracture of scaphoid bone of wrist,condition_occurrence
77129,Closed fracture of pelvis,condition_occurrence
77131,Open fracture of talus,condition_occurrence
77162,Injury of ankle,condition_occurrence
77182,Full thickness burn of toe,condition_occurrence
77234,Benign neoplasm of colon,condition_occurrence
77310,Deep vein phlebitis and thrombophlebitis of the leg,condition_occurrence
77317,Chronic ulcerative rectosigmoiditis,condition_occurrence
77340,Genitourinary tract infection in pregnancy,condition_occurrence
77355,Articular cartilage disorder of ankle AND/OR foot,condition_occurrence
77356,Pathological dislocation of joint,condition_occurrence
77357,Intrapelvic protrusion of acetabulum,condition_occurrence
77360,Acquired cubitus varus,condition_occurrence
77362,Stress fracture of pelvis,condition_occurrence
77395,Current tear of semilunar cartilage,condition_occurrence
77405,Open fracture of acetabulum,condition_occurrence
77437,Full thickness burn of upper arm,condition_occurrence
77455,Burn of chest wall,condition_occurrence
77517,Benign neoplasm of scapula and long bones of upper limb,condition_occurrence
77600,Encysted hydrocele,condition_occurrence
77619,Reduced fetal movement,condition_occurrence
77630,Disorder of shoulder,condition_occurrence
77631,"Localized, secondary osteoarthritis of the shoulder region",condition_occurrence
77635,Disorder of hand,condition_occurrence
77637,Recurrent dislocation of knee,condition_occurrence
77639,Diffuse cervicobrachial syndrome,condition_occurrence
77641,Palindromic rheumatism of hand,condition_occurrence
77644,Adhesive capsulitis of shoulder,condition_occurrence
77647,Mallet finger,condition_occurrence
77653,Traumatic myositis ossificans,condition_occurrence
77670,Chest pain,condition_occurrence
77691,Open fracture of capitate bone of wrist,condition_occurrence
77702,Multiple closed fractures of pelvis with disruption of pelvic circle,condition_occurrence
77707,Sprain of deltoid ligament of ankle,condition_occurrence
77734,Contusion of lower leg,condition_occurrence
77812,Malignant neoplasm of anterior wall of urinary bladder,condition_occurrence
77923,Eosinophilic colitis,condition_occurrence
77955,Articular cartilage disorder of shoulder region,condition_occurrence
77961,Disseminated idiopathic skeletal hyperostosis,condition_occurrence
77962,Recurrent dislocation of hand,condition_occurrence
77963,Achilles tendinitis,condition_occurrence
77965,Acquired trigger finger,condition_occurrence
78011,Sprain of metacarpophalangeal joint,condition_occurrence
78073,Urogenital infection by Trichomonas vaginalis,condition_occurrence
78093,Primary malignant neoplasm of pleura,condition_occurrence
78097,Secondary malignant neoplasm of bone,condition_occurrence
78110,Carcinoma in situ of anus,condition_occurrence
78162,Peripheral vertigo,condition_occurrence
78193,Orchitis and epididymitis,condition_occurrence
78200,Benign mammary dysplasia,condition_occurrence
78228,Joint derangement,condition_occurrence
78232,Shoulder joint pain,condition_occurrence
78234,Hand joint pain,condition_occurrence
78236,Muscle atrophy,condition_occurrence
78257,Osteogenesis imperfecta,condition_occurrence
78272,Sprain of wrist,condition_occurrence
78273,Closed fracture of multiple ribs,condition_occurrence
78274,Closed fracture of pisiform bone of wrist,condition_occurrence
78276,Open fracture of ilium,condition_occurrence
78308,Osteolysis,condition_occurrence
78314,Burn of thumb,condition_occurrence
78357,Reactive arthritis triad,condition_occurrence
78472,Microscopic hematuria,condition_occurrence
78473,Solitary cyst of breast,condition_occurrence
78474,Hypertrophy of breast,condition_occurrence
78494,Obstetric breast abscess - delivered with postnatal complication,condition_occurrence
78505,"Localized, primary osteoarthritis of the ankle and/or foot",condition_occurrence
78507,Pathological dislocation of shoulder region,condition_occurrence
78508,Arthralgia of the ankle and/or foot,condition_occurrence
78510,Recurrent dislocation of elbow,condition_occurrence
78574,Open fracture of multiple ribs,condition_occurrence
78579,Closed fracture of first cervical vertebra,condition_occurrence
78581,Sprain of sacroiliac ligament,condition_occurrence
78586,Sprain of interphalangeal joint of toe,condition_occurrence
78605,Contusion of elbow,condition_occurrence
78609,Crushing injury of upper limb,condition_occurrence
78619,Contusion of knee,condition_occurrence
78771,Labyrinthine dysfunction,condition_occurrence
78786,Pleurisy,condition_occurrence
78804,Fibrocystic disease of breast,condition_occurrence
78829,Pyogenic arthritis of the ankle and/or foot,condition_occurrence
78830,Post-dysenteric arthropathy,condition_occurrence
78832,Intervertebral disc disorder with myelopathy,condition_occurrence
78833,Hemarthrosis of elbow,condition_occurrence
78834,Effusion of joint of hand,condition_occurrence
78987,Secondary malignant neoplasm of urinary system,condition_occurrence
79061,Slow transit constipation,condition_occurrence
79072,Inflammatory disorder of breast,condition_occurrence
79098,Suppressed lactation,condition_occurrence
79104,Loose body in joint,condition_occurrence
79113,Traumatic dislocation of ankle joint,condition_occurrence
79116,Disorder of tendon of shoulder region,condition_occurrence
79119,Thoracic spondylosis with myelopathy,condition_occurrence
79126,Polysyndactyly,condition_occurrence
79127,Congenital spondylolisthesis,condition_occurrence
79145,Ehlers-Danlos syndrome,condition_occurrence
79165,Closed Monteggia's fracture,condition_occurrence
79167,Open fracture of distal phalanx of finger,condition_occurrence
79172,Closed fracture of coronoid process of ulna,condition_occurrence
79174,Open fracture of calcaneus,condition_occurrence
79213,Full thickness burn of elbow,condition_occurrence
79232,Burn of ankle,condition_occurrence
79240,Prosthetic joint dislocation,condition_occurrence
79732,Genitourinary chlamydia infection,condition_occurrence
79740,Overlapping malignant neoplasm of colon,condition_occurrence
79742,Primary genital syphilis,condition_occurrence
79749,Primary malignant neoplasm of body of penis,condition_occurrence
79758,Primary malignant neoplasm of scrotum,condition_occurrence
79765,Neoplasm of uncertain behavior of urinary system,condition_occurrence
79804,Steinert myotonic dystrophy syndrome,condition_occurrence
79833,M+¬ni+¿re's disease,condition_occurrence
79864,Hematuria syndrome,condition_occurrence
79873,Urolith,condition_occurrence
79884,Galactorrhea not associated with childbirth,condition_occurrence
79890,Disorder of pelvic size and disproportion,condition_occurrence
79903,Effusion of joint,condition_occurrence
79904,"Localized, secondary osteoarthritis of the hand",condition_occurrence
79908,Muscle weakness,condition_occurrence
79916,Acquired hallux rigidus,condition_occurrence
79917,Acquired deformity of toe,condition_occurrence
79936,Polyuria,condition_occurrence
79938,Closed fracture of scapula,condition_occurrence
79939,Sprain of ligament of tarsometatarsal joint,condition_occurrence
79962,Crushing injury of elbow,condition_occurrence
80004,Injury of hand,condition_occurrence
80008,Breakage of joint prosthesis,condition_occurrence
80045,Primary malignant neoplasm of anus,condition_occurrence
80141,Functional diarrhea,condition_occurrence
80165,Fetal disproportion,condition_occurrence
80180,Osteoarthritis,condition_occurrence
80182,Dermatomyositis,condition_occurrence
80183,"Localized, secondary osteoarthritis of the ankle and/or foot",condition_occurrence
80186,Recurrent dislocation of shoulder region,condition_occurrence
80187,Medial epicondylitis,condition_occurrence
80205,Condition in fetus originating in the perinatal period,condition_occurrence
80223,Closed fracture finger middle phalanx,condition_occurrence
80229,Open fracture of one rib,condition_occurrence
80232,Closed fracture of calcaneus,condition_occurrence
80241,Closed fracture of navicular bone of foot,condition_occurrence
80242,Current tear of medial cartilage AND/OR meniscus of knee,condition_occurrence
80249,Sprain of acromioclavicular ligament,condition_occurrence
80262,Epidermal burn of multiple sites of upper limb,condition_occurrence
80269,Mechanical complication of internal joint prosthesis,condition_occurrence
80286,Prosthetic joint loosening,condition_occurrence
80294,Foreign body in genitourinary tract,condition_occurrence
80340,Primary malignant neoplasm of epididymis,condition_occurrence
80471,Disorder of lactation,condition_occurrence
80482,Suppurative arthritis,condition_occurrence
80484,Crystal arthropathy,condition_occurrence
80488,Arthropathy associated with a hypersensitivity reaction,condition_occurrence
80492,Contracture of knee joint,condition_occurrence
80493,Ankylosis of joint,condition_occurrence
80494,Arthropathy associated with another disorder,condition_occurrence
80496,Schmorl's nodes,condition_occurrence
80497,Disorder of cervical spine,condition_occurrence
80502,Osteoporosis,condition_occurrence
80504,Acquired genu valgum,condition_occurrence
80509,Bone cyst,condition_occurrence
80552,Closed fracture of scaphoid bone of wrist,condition_occurrence
80573,Contusion of ankle,condition_occurrence
80576,Injury of iliac vein,condition_occurrence
80592,Crushing injury of ankle,condition_occurrence
80665,Malignant neoplasm of thorax,condition_occurrence
80767,Breast lump,condition_occurrence
80800,Polymyositis,condition_occurrence
80802,"Localized, secondary osteoarthritis",condition_occurrence
80809,Rheumatoid arthritis,condition_occurrence
80813,Lumbosacral spondylosis without myelopathy,condition_occurrence
80819,Acquired hallux varus,condition_occurrence
80854,Closed fracture of capitate bone of wrist,condition_occurrence
80861,Closed fracture of ischium,condition_occurrence
80946,Tinea manus,condition_occurrence
80951,Candidiasis of urogenital site,condition_occurrence
81029,Chronic petrositis,condition_occurrence
81064,Pseudopolyposis of colon,condition_occurrence
81088,Failure of lactation,condition_occurrence
81097,Felty's syndrome,condition_occurrence
81099,Pyogenic arthritis of shoulder region,condition_occurrence
81101,Ankylosis of joint of hand,condition_occurrence
81106,Acquired genu varum,condition_occurrence
81141,Closed fracture of ilium,condition_occurrence
81144,Sprain of medial collateral ligament of knee,condition_occurrence
81148,Open Monteggia's fracture,condition_occurrence
81151,Sprain of ankle,condition_occurrence
81175,Contusion of chest,condition_occurrence
81186,Contusion of wrist,condition_occurrence
81195,Injury of sacral nerve roots,condition_occurrence
81237,Primary malignant neoplasm of upper limb bones and scapula,condition_occurrence
81239,Primary malignant neoplasm of upper limb,condition_occurrence
81247,Carcinoma in situ of urinary system,condition_occurrence
81250,Carcinoma in situ of breast,condition_occurrence
81286,Toxic myopathy,condition_occurrence
81303,Labyrinthine disorder,condition_occurrence
81336,Rectal prolapse,condition_occurrence
81378,Chondromalacia of patella,condition_occurrence
81379,Lateral epicondylitis,condition_occurrence
81382,Pigmented villonodular synovitis,condition_occurrence
81383,Villonodular synovitis of the shoulder region,condition_occurrence
81395,Metatarsus primus varus,condition_occurrence
81403,Osteopetrosis,condition_occurrence
81426,Closed fracture of clavicle,condition_occurrence
81454,Injury of finger,condition_occurrence
81496,Tuberculosis of vertebral column,condition_occurrence
81623,Atrophy of breast,condition_occurrence
81634,Ptotic breast,condition_occurrence
81636,Excessive fetal growth affecting management of mother,condition_occurrence
81660,Cervicocranial syndrome,condition_occurrence
81670,Congenital anomaly of spine,condition_occurrence
81695,Sprain of radiocarpal ligament,condition_occurrence
81696,Closed fracture of acetabulum,condition_occurrence
81707,Closed fracture of cuboid bone of foot,condition_occurrence
81713,Carpal joint sprain,condition_occurrence
81723,Contusion of hand,condition_occurrence
81763,Frostbite of hand,condition_occurrence
81878,Benign paroxysmal positional vertigo,condition_occurrence
81893,Ulcerative colitis,condition_occurrence
81902,Urinary tract infectious disease,condition_occurrence
81931,Psoriasis with arthropathy,condition_occurrence
81937,Traumatic arthropathy of the hand,condition_occurrence
81988,Sprain of sternum,condition_occurrence
132258,Primary malignant neoplasm of frontal sinus,condition_occurrence
132277,Neoplasm of uncertain behavior of endocrine glands and nervous system,condition_occurrence
132333,Acute perichondritis of pinna,condition_occurrence
132342,Apraxia,condition_occurrence
132344,Gingival and periodontal disease,condition_occurrence
132391,Furuncle of face,condition_occurrence
132393,Pressure ulcer stage 1,condition_occurrence
132397,Pilonidal cyst without abscess,condition_occurrence
132412,Post-laminectomy syndrome,condition_occurrence
132414,Chronic osteomyelitis of hand,condition_occurrence
132416,Cauliflower ear,condition_occurrence
132446,Congenital anomaly of skin,condition_occurrence
132466,Lumbar sprain,condition_occurrence
132494,Partial thickness burn of toe,condition_occurrence
132495,"Burn involving 30-39 percent of body surface, with 30-39 percent of body surface with full thickness burn",condition_occurrence
132553,Herpangina,condition_occurrence
132572,Chronic myeloid leukemia in remission,condition_occurrence
132575,Myeloid sarcoma in remission,condition_occurrence
132579,Subacute thyroiditis,condition_occurrence
132617,Diplegic cerebral palsy,condition_occurrence
132643,Orbital osteomyelitis,condition_occurrence
132702,Erythema multiforme,condition_occurrence
132703,Lichen planus,condition_occurrence
132704,Lichen nitidus,condition_occurrence
132706,Disorder of nail,condition_occurrence
132718,Chronic osteomyelitis of shoulder,condition_occurrence
132724,Congenital anomaly of hair,condition_occurrence
132736,Bacteremia,condition_occurrence
132781,Mechanical complication of vascular device,condition_occurrence
132797,Sepsis,condition_occurrence
132834,White piedra,condition_occurrence
132835,Pediculosis capitis,condition_occurrence
132841,Malignant lymphoma of lymph nodes of multiple sites,condition_occurrence
132850,Myeloid leukemia in remission,condition_occurrence
132853,Lymphoid leukemia,condition_occurrence
132932,Chronic ethmoidal sinusitis,condition_occurrence
132943,Acute periodontitis,condition_occurrence
132983,Dermatographic urticaria,condition_occurrence
133002,Acute osteomyelitis,condition_occurrence
133003,Osteomyelitis of shoulder region,condition_occurrence
133013,Congenital anomaly of spinal cord,condition_occurrence
133081,"Burn involving 50-59 percent of body surface, with 50-59 percent of body surface with full thickness burn",condition_occurrence
133141,Tinea pedis,condition_occurrence
133147,Primary malignant neoplasm of skin of trunk,condition_occurrence
133150,Malignant neoplasm of skin of lower limb and hip,condition_occurrence
133154,Plasma cell leukemia,condition_occurrence
133158,Plasma cell leukemia in remission,condition_occurrence
133169,Myelofibrosis,condition_occurrence
133228,Dental caries,condition_occurrence
133278,Disorder of hair,condition_occurrence
133283,Pyoderma gangrenosum,condition_occurrence
133285,Dermatitis factitia,condition_occurrence
133294,Prepatellar bursitis,condition_occurrence
133296,Osteomyelitis of upper arm,condition_occurrence
133303,Congenital anomaly of mouth,condition_occurrence
133364,Partial thickness burn of back,condition_occurrence
133367,Partial thickness burn of wrist,condition_occurrence
